STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",2/5/15,5.37,,0,0,0,55,72,36,130,120,16.1,19.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",3/5/15,8.05,,0,0,0,63,81,42,210,210,21,32,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",4/5/15,9.4,,0.05,0,0,66,73,46,350,330,23.9,31.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",5/5/15,4.7,,0,0,0,53,66,38,130,130,13,16.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",6/5/15,6.04,,0,0,0,50,66,31,110,90,16.1,30,1,1,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",7/5/15,7.38,,0,0,0,61,83,45,120,120,16.1,21,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",8/5/15,9.4,,0.66,0,0,70,83,56,190,330,23,32,1,,1,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",9/5/15,7.38,,0.42,0,0,56,59,49,330,340,15,18.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",10/5/15,8.5,,0.04,0,0,50,50,44,50,50,15,19,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",11/5/15,6.04,,0.5,0,0,46,56,43,110,50,15,19.9,1,1,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",12/5/15,10.74,,0,0,0,52,57,40,240,240,19.9,28,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",13/5/15,9.17,,0.01,0,0,47,58,35,10,340,19.9,28,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",14/5/15,6.71,,0,0,0,48,62,32,130,130,17,23.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",15/5/15,3.8,,0.1,0,0,49,57,46,110,110,10.1,14.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",16/5/15,5.59,,0,0,0,57,71,46,100,120,14.1,18.1,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",17/5/15,8.5,,0,0,0,57,76,46,130,120,19.9,25.9,1,,,,,1,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",18/5/15,11.41,,0,0,0,74,86,50,220,210,23,32,1,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",19/5/15,10.74,,0,0,0,51,50,38,320,330,23,31.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",20/5/15,5.37,,0,0,0,44,62,31,330,310,15,21.9,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",21/5/15,8.95,,0,0,0,55,71,42,330,310,21,27.1,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",22/5/15,8.95,,0,0,0,48,57,31,330,350,23.9,32,,,,,,,
USW00094849,"ALPENA CO REGIONAL AIRPORT, MI US",23/5/15,6.71,,0,0,0,53,79,26,230,220,17,25.1,,,,,,,
